# DIST_PNC,OXFORD_COMMAS,NUM_PARAGRAPHS,NORM_FULL_STOPS,NORM_COMMAS,AVG_SENT_LEN,UNIGRAM_OVERLAP,BIGRAM_OVERLAP,TRIGRAM_OVERLAP,MATCHES_VOCAB_5K,MATCHES_VOCAB_10K,POLARITY,SUBJECTIVITY,SENTIMENT_ES,SENTIMENT_ML,SENTIMENT_ML_SCORE
5,1,5,0.08333333,0.08333333,24.08823529,0.00330033,0.00158479,0.00141844,0.82559775,0.02953586,0.0434131,0.54353656,0.99999999,1,0.75
5,1,8,0.08527132,0.04909561,20.36842105,0.0027933,0.00156986,0.00148588,0.84319527,0.0295858,0.08365148,0.44342501,0.99999915,1,0.75
7,0,1,0.11135857,0.06013363,21.1025641,0.00294985,0.00154083,0.00138889,0.86431479,0.01899593,0.13407384,0.52406914,1,0,0.5
4,0,1,0.10792952,0.03744493,17.08163265,0.0027933,0.00157233,0.00143062,0.80298913,0.03668478,0.12222822,0.52182428,1,-1,0
6,0,6,0.08169014,0.04507042,22.32352941,0.00338983,0.00170068,0.00151515,0.87039764,0.02356406,0.19302912,0.47991919,1,-1,0.25
6,0,7,0.07862408,0.10565111,20.18421053,0.002849,0.00161551,0.00151057,0.7880597,0.04477612,0.09037008,0.51108234,1,-1,0.25
11,0,4,0.06613757,0.04232804,26.53846154,0.00340136,0.0018315,0.00167785,0.80232558,0.03488372,0.07984046,0.39427297,1,1,0.75
9,2,5,0.06626506,0.06626506,24.17948718,0.0028169,0.00139082,0.00123457,0.81980907,0.04295943,0.08075591,0.50987658,0.99999996,-1,0.25
6,0,9,0.08490566,0.08333333,18.8,0.00219298,0.00121359,0.00113766,0.72053872,0.09988777,0.06932363,0.38115766,1,-1,0
6,1,6,0.07578558,0.04990758,23.07142857,0.00280112,0.00132275,0.00117233,0.7954023,0.03333333,0.15091142,0.36802448,1,-1,0.25
11,1,7,0.05511811,0.02099738,30.65384615,0.0031746,0.0015748,0.00140647,0.85362517,0.03967168,0.11376969,0.50207243,0.99999998,0,0.5
5,0,8,0.09685864,0.03926702,18.41463415,0.00310559,0.0016,0.00148148,0.87554905,0.03953148,0.14953055,0.48065574,1,-1,0.25
5,0,1,0.06956522,0.06521739,26.84375,0.00299401,0.00149701,0.0013245,0.80699482,0.03756477,0.16190988,0.44840758,1,1,0.75
5,0,6,0.08053691,0.03355705,23.02631579,0.00282486,0.00149031,0.0012987,0.87826087,0.03354037,0.24704641,0.45590717,1,1,0.75
4,0,5,0.08521303,0.03007519,22,0.00348432,0.0016835,0.00148588,0.81922525,0.07890961,0.07867299,0.51630159,0.99999947,-1,0
9,0,1,0.07633588,0.04580153,21.91176471,0.00292398,0.00165837,0.00155763,0.82998454,0.03554869,0.10902806,0.49566434,1,-1,0
11,1,3,0.07692308,0.05821206,20.39534884,0.00273224,0.00150376,0.00139082,0.78125,0.04211957,0.03286638,0.44983705,1,-1,0.25
7,0,3,0.06909091,0.1,24.825,0.002331,0.00121212,0.00115207,0.83657143,0.05942857,0.01304392,0.58721264,1,-1,0.25
5,0,4,0.08947368,0.01052632,19.68421053,0.00353357,0.00166113,0.00149254,0.86580087,0.04184704,0.08445969,0.36202443,1,1,0.75
11,1,7,0.06966292,0.03595506,24,0.00277778,0.0014245,0.001287,0.88819095,0.02638191,0.17085047,0.58106602,1,1,0.75
3,0,8,0.07641196,0.04318937,23.86,0.0021322,0.00103413,0.00092937,0.80636364,0.03272727,0.08986486,0.47116045,1,-1,0.25
4,0,1,0.10436893,0.08009709,16.81632653,0.00299401,0.00150376,0.00138889,0.85931034,0.03448276,0.18030722,0.52323733,1,0,0.5
7,0,1,0.07281553,0.09223301,20.43589744,0.00288184,0.0015625,0.00144718,0.82025678,0.04136947,0.08996683,0.52641554,0.97387775,-1,0
4,0,1,0.08056872,0.03791469,26.29411765,0.00454545,0.00269542,0.00253165,0.84029484,0.02702703,0.11105006,0.53836996,0.9999866,-1,0.25
10,0,9,0.08333333,0.07657658,22.10526316,0.00271003,0.00149477,0.00137931,0.7826685,0.07152682,-0.01968656,0.57942033,0.99950388,-1,0.25
10,0,1,0.07177033,0.0861244,28.38709677,0.00303951,0.00152672,0.00133869,0.84291188,0.03703704,0.11655829,0.4583594,1,1,0.75
8,0,1,0.08,0.14133333,25.06451613,0.00324675,0.00176991,0.00158479,0.82,0.04153846,0.08283169,0.50306437,0.99999999,-1,0
3,0,5,0.08883827,0.02277904,20.73809524,0.00301205,0.00146413,0.00129032,0.82186732,0.02457002,0.04732625,0.50429416,1,1,0.75
8,0,6,0.1031941,0.02211302,18,0.00294985,0.00152905,0.00132979,0.85490196,0.03267974,0.14632275,0.46331444,1,-1,0.25
9,2,1,0.07915058,0.07915058,19.43478261,0.0023753,0.00135318,0.00130208,0.75483871,0.08129032,0.15227034,0.49431818,0.99987365,-1,0
6,0,1,0.10401891,0.04964539,17.66666667,0.00290698,0.0016,0.001443,0.77150917,0.07616361,-0.04876722,0.54316528,1,-1,0
8,0,3,0.06801008,0.10579345,26.22580645,0.00310559,0.00163666,0.00145773,0.81321839,0.02011494,0.0987963,0.49151235,1,0,0.5
5,0,7,0.06278027,0.08520179,28.93333333,0.00311526,0.00149925,0.00134048,0.8553137,0.05377721,0.1208322,0.46794041,1,0,0.5
5,0,1,0.07672634,0.13043478,25.76666667,0.003125,0.00161812,0.00149031,0.87647059,0.02794118,0.14497911,0.51638889,1,-1,0.25
7,0,1,0.1,0.02058824,20.23529412,0.00348432,0.00181818,0.00162338,0.81918239,0.05188679,0.11456942,0.47681131,1,0,0.5
5,0,7,0.1025641,0.01538462,18.15909091,0.00301205,0.0015361,0.00141243,0.85138889,0.02777778,0.1682745,0.44951606,1,-1,0.25
6,0,1,0.05357143,0.06473214,30.82142857,0.0027248,0.00143472,0.00130039,0.82465057,0.04193139,0.13146355,0.517534,1,-1,0.25
6,1,1,0.09798271,0.06628242,16.29545455,0.00364964,0.00176991,0.00160772,0.82807571,0.01735016,0.22821839,0.54482348,1,1,1
4,0,4,0.08636364,0.05909091,21.39473684,0.00298507,0.00153846,0.00141243,0.85950413,0.04407713,0.18019847,0.54045868,0.999999,1,0.75
5,0,1,0.07276995,0.05399061,26.58064516,0.00266667,0.0015015,0.00139276,0.80547945,0.04246575,0.14039244,0.5498484,0.99999735,1,0.75
5,0,6,0.11428571,0.02571429,14.93478261,0.00358423,0.00182815,0.00162602,0.80929487,0.05448718,0.05238946,0.47384779,1,-1,0.25
10,0,8,0.06560284,0.06205674,21.86363636,0.00277778,0.0014245,0.00128205,0.81281407,0.02512563,0.10189043,0.45189594,1,-1,0.25
6,0,4,0.08357349,0.0259366,23.77419355,0.003663,0.00170068,0.00149477,0.90775988,0.02196193,0.14731544,0.50498803,1,1,0.75
11,1,1,0.07829181,0.07117438,24.68181818,0.00242131,0.00119617,0.00106838,0.81431535,0.0466805,0.08734535,0.35825421,1,1,0.75
6,0,1,0.08232446,0.04358354,22.91428571,0.00341297,0.00170358,0.00149701,0.8326301,0.04360056,0.19899351,0.49381868,1,-1,0.25
5,0,6,0.08388521,0.03752759,20.19512195,0.00265957,0.00143472,0.00135501,0.8266129,0.0483871,0.22702264,0.49182149,1,1,0.75
8,0,1,0.07641921,0.069869,22.12820513,0.00262467,0.00143472,0.00131406,0.78080415,0.07263294,0.05398192,0.55959064,1,1,0.75
10,0,1,0.09839817,0.03203661,17.30434783,0.00285714,0.00156495,0.00145138,0.80796586,0.04267425,0.25878091,0.43704682,1,1,0.75
9,0,1,0.07142857,0.05357143,21.8,0.00352113,0.0015949,0.00137741,0.84313725,0.04183007,0.15045607,0.47941426,1,0,0.5
6,0,1,0.10739857,0.05250597,17.41304348,0.00332226,0.00168634,0.00148148,0.83966245,0.05766526,0.21020637,0.48861989,1,0,0.5
8,1,5,0.08293839,0.06398104,23.68571429,0.00289017,0.00152207,0.00140449,0.84435262,0.03719008,-0.06060874,0.53593148,0.99999778,-1,0
5,0,1,0.0922619,0.04761905,21.14285714,0.00357143,0.0017762,0.00159744,0.81163859,0.04287902,0.16425454,0.62191327,1,1,0.75
9,1,5,0.08391608,0.07925408,18.82926829,0.00268817,0.00158479,0.00149477,0.7756315,0.04011887,-0.01002788,0.43569986,1,-1,0.25
5,0,1,0.07885305,0.0734767,21,0.00235294,0.00131752,0.00120919,0.74558304,0.04358068,-0.00574454,0.35696479,1,-1,0
10,1,6,0.06950673,0.05829596,28.32258065,0.00265957,0.00148588,0.00134409,0.84716733,0.03293808,0.02098799,0.49985348,0.99999629,1,0.75
6,0,1,0.08505747,0.07816092,22.17948718,0.0028169,0.00149031,0.00137552,0.80497382,0.05628272,0.15065284,0.55999232,1,1,0.75
5,2,1,0.08762887,0.04123711,22.4,0.0033557,0.00167224,0.00148588,0.84528833,0.03938115,0.1685089,0.47896445,1,1,0.75
7,0,1,0.05673759,0.08983452,31.875,0.00273224,0.0015674,0.00147059,0.84393064,0.03612717,0.09311343,0.49648644,1,-1,0.25
6,0,8,0.09933775,0.01324503,16.20408163,0.00296736,0.00155521,0.00143472,0.84078212,0.03351955,0.11786057,0.40669851,1,-1,0.25
5,0,1,0.0776699,0.08737864,25.71875,0.00311526,0.0015361,0.0013986,0.85497238,0.0359116,0.1644487,0.54101645,1,1,0.75
4,0,4,0.08076923,0.04615385,23.80952381,0.00420168,0.00242718,0.00222717,0.79515419,0.03303965,0.19982769,0.4898183,1,-1,0.25
7,1,5,0.11369509,0.06459948,16.82978723,0.00318471,0.00163132,0.00147275,0.84900285,0.03133903,0.10876984,0.66453373,1,1,0.75
8,0,5,0.10958904,0.043379,17.06122449,0.002849,0.00154799,0.00141044,0.80494505,0.04807692,0.05144345,0.45300843,0.99999964,1,0.75
12,0,2,0.1025641,0.06196581,17.78431373,0.0027248,0.00140647,0.00127226,0.84634449,0.02973978,0.12454929,0.51682489,1,1,0.75
8,0,1,0.0802139,0.07130125,23.13043478,0.00224215,0.00118203,0.00109769,0.75899673,0.0697928,0.14917717,0.49528479,1,1,0.75
11,0,1,0.1010989,0.1032967,23.22222222,0.0025974,0.0015748,0.00144092,0.73980309,0.06610408,-0.02445635,0.56560714,1,-1,0
5,0,1,0.11688312,0.00865801,14.4137931,0.00502513,0.00294118,0.00271003,0.7382199,0.03664921,0.14579613,0.5187004,0.99999997,-1,0
8,1,1,0.09336609,0.04176904,22,0.00291545,0.00155039,0.00140449,0.82472826,0.04619565,0.15008884,0.56007736,1,1,0.75
7,1,3,0.07482993,0.09297052,24.11428571,0.0027933,0.00149031,0.00137363,0.83423913,0.04891304,0.13717384,0.40154925,1,1,0.75
8,0,15,0.10486891,0.02808989,16.63934426,0.00241546,0.00123305,0.00113895,0.83595506,0.03146067,0.12598411,0.40441748,1,-1,0.25
8,0,8,0.07142857,0.06377551,25.53333333,0.00294985,0.00157233,0.00148148,0.83727811,0.05621302,0.11462596,0.47104015,1,1,0.75
4,0,1,0.08522727,0.05397727,22.33333333,0.00319489,0.00165563,0.00151976,0.8490284,0.04035874,-0.02357253,0.55380658,1,1,0.75
8,0,2,0.0719755,0.06431853,20.90909091,0.00202429,0.0010989,0.001,0.77821394,0.03925417,0.06208348,0.45369985,1,-1,0.25
6,1,1,0.072,0.092,23.78947368,0.00276243,0.00142248,0.00126582,0.80148883,0.07692308,0.00589415,0.51530638,1,1,0.75
9,0,6,0.06658291,0.08542714,25.96363636,0.00185529,0.00094967,0.00083472,0.77341873,0.06405124,0.02614265,0.31698855,1,1,0.75
7,0,5,0.09539474,0.07072368,21.51724138,0.00228311,0.00104822,0.00091996,0.8489011,0.03846154,0.10531788,0.51916354,1,1,0.75
7,0,8,0.07021792,0.05569007,24.54545455,0.00280112,0.00152672,0.00140252,0.81991814,0.03683492,0.08541716,0.47520099,0.99999997,1,0.75
7,0,6,0.07407407,0.04793028,22.88888889,0.00282486,0.00152672,0.00137174,0.7526738,0.04144385,0.03249089,0.45504814,1,-1,0.25
10,0,5,0.07036247,0.07889126,21.60526316,0.00253807,0.00151745,0.00145773,0.82481752,0.03357664,0.07463345,0.47347583,1,-1,0
9,0,1,0.06634304,0.06634304,24.30188679,0.00257069,0.00109769,0.00092336,0.84233449,0.03571429,0.07380128,0.47565949,1,-1,0.25
5,2,6,0.0691358,0.07901235,25.4,0.00290698,0.00163132,0.00149031,0.82941176,0.03382353,0.12237538,0.50588276,1,-1,0.25
7,0,9,0.11392405,0.05379747,13.75,0.00390625,0.00236407,0.0021978,0.74235808,0.06550218,-0.01865699,0.45256696,0.62805702,-1,0
5,2,1,0.11948052,0.0961039,16.42,0.0030303,0.0015625,0.00142653,0.82426778,0.0446304,0.12602513,0.47867945,0.99999981,-1,0.25
7,0,6,0.09690722,0.03298969,14.93103448,0.003125,0.00158228,0.00142857,0.75649795,0.06703146,0.16691176,0.39963235,0.99999999,-1,0.25
7,0,4,0.09349593,0.06910569,20.07692308,0.00460829,0.002457,0.00222222,0.88322718,0.02335456,0.13009983,0.47201141,0.99999998,-1,0.25
11,3,3,0.13333333,0.04888889,12.95384615,0.0031348,0.00165289,0.00149031,0.79939668,0.02413273,0.06942308,0.55401099,0.99990852,-1,0.25
6,1,2,0.08823529,0.10633484,18.56818182,0.0027933,0.0015456,0.0014556,0.80257511,0.04577969,0.06084617,0.45731791,0.96317627,1,1
9,1,1,0.06807512,0.1056338,26.25806452,0.00280112,0.0015456,0.001443,0.81188119,0.04526167,0.02094864,0.46958939,1,-1,0
9,0,7,0.08752026,0.1102107,20.34615385,0.00208768,0.00123609,0.00114811,0.73757225,0.04393064,0.12835227,0.43765043,1,1,0.75
4,0,1,0.07706093,0.08243728,23.97727273,0.00260417,0.00127065,0.00110865,0.81798715,0.05460385,0.05251323,0.48121693,0.99999976,1,0.75
5,0,9,0.0744921,0.02934537,21.57142857,0.00316456,0.00167224,0.0014881,0.85087719,0.04678363,0.08881798,0.42222098,1,-1,0.25
9,0,1,0.05206074,0.07375271,30.64285714,0.00261097,0.00138313,0.00131234,0.86405229,0.04052288,0.13915269,0.53805213,1,1,0.75
7,0,1,0.07142857,0.07397959,29.34615385,0.00327869,0.00163666,0.00151057,0.8689759,0.05120482,0.26156501,0.5082943,1,1,0.75
11,1,10,0.06508876,0.04536489,23.9,0.00248756,0.0012987,0.00121507,0.796875,0.05048077,0.03421014,0.48136186,1,-1,0
6,2,1,0.095,0.0675,19.25,0.00294985,0.00145349,0.00133511,0.83708609,0.03576159,0.13316842,0.58996856,1,-1,0.25
11,0,1,0.08860759,0.06075949,21.09375,0.00298507,0.00176678,0.00168919,0.76610169,0.06271186,0.03944127,0.4893304,0.99999115,-1,0
10,0,8,0.0625,0.06445312,26.57894737,0.00257069,0.00127714,0.00114155,0.77404922,0.03131991,0.20697558,0.61069222,1,1,0.75
5,1,6,0.08557457,0.06356968,22.23076923,0.00301205,0.00150376,0.00131926,0.85063291,0.02025316,0.08328979,0.51570098,0.9999998,1,0.75
11,0,6,0.08860759,0.04219409,16.45283019,0.00271739,0.0015015,0.00138122,0.79069767,0.05745554,0.15924082,0.54107435,1,-1,0.25
7,0,5,0.09701493,0.05721393,20.65789474,0.00327869,0.00163399,0.00147059,0.8367052,0.03612717,0.16054158,0.57629443,1,1,0.75
9,1,1,0.09615385,0.08391608,18.84482759,0.00230415,0.00115875,0.00106496,0.85,0.04895833,0.13833903,0.48915833,1,-1,0.25
6,0,1,0.08264463,0.06404959,19.3902439,0.00257732,0.00151976,0.00142857,0.73925501,0.08166189,0.07199528,0.52600157,1,-1,0.25
6,0,5,0.11294118,0.05882353,15.75,0.00282486,0.00152672,0.00140252,0.77994429,0.02924791,0.11189347,0.41252964,1,-1,0
12,0,1,0.06273764,0.10076046,34.21428571,0.00255754,0.0014881,0.00136612,0.74128686,0.02680965,0.08651876,0.52331568,1,1,0.75
6,0,1,0.0911215,0.05841121,27.8,0.00357143,0.00162338,0.00141844,0.88015979,0.02929427,0.0839799,0.53775466,1,0,0.5
9,0,2,0.0867052,0.05973025,21.10869565,0.00245098,0.00131579,0.00119617,0.76914016,0.05889282,-0.00232733,0.45576577,1,-1,0
7,0,7,0.08213552,0.06776181,21.35555556,0.0026455,0.00134048,0.00120482,0.86231039,0.0361727,0.09519849,0.48319716,0.99998949,0,0.5
4,0,1,0.09352518,0.02877698,18.13953488,0.00311526,0.00165017,0.00146843,0.79805014,0.03342618,0.22482031,0.48751123,1,-1,0.25
5,0,1,0.08307692,0.01538462,26.57142857,0.0033557,0.00165563,0.00148368,0.88070692,0.02503682,0.14668867,0.46650493,1,1,1
12,1,3,0.07675439,0.05921053,27.05714286,0.00292398,0.00139276,0.00123609,0.83232078,0.02794654,0.17996528,0.50088624,1,0,0.5
7,0,1,0.0845666,0.06976744,19.2,0.00287356,0.0014881,0.00136612,0.83442838,0.04204993,0.21869671,0.51807359,0.99998263,-1,0.25
5,0,5,0.08471074,0.06818182,21.02173913,0.00263852,0.00126582,0.0011534,0.81022727,0.06590909,0.03841375,0.57144665,1,-1,0.25
9,5,3,0.07692308,0.09134615,24.02941176,0.00325733,0.0016129,0.00146628,0.84142857,0.03285714,0.08685907,0.39144661,0.99999996,1,0.75
8,4,8,0.09656652,0.06437768,14.85714286,0.0027933,0.00151745,0.00143062,0.82014388,0.04316547,0.08188373,0.5002237,0.9999974,-1,0.25
6,1,7,0.1002331,0.06993007,16.51020408,0.00292398,0.00153139,0.0014245,0.82377622,0.06293706,0.15437752,0.44213378,1,-1,0.25
6,0,1,0.06818182,0.04772727,34.16666667,0.00298507,0.0015674,0.00141443,0.828722,0.04874835,0.12786857,0.4882708,1,-1,0.25
10,0,7,0.08754864,0.05836576,18.09803922,0.002331,0.00138313,0.00132979,0.76041667,0.04166667,0.0771904,0.4809042,1,-1,0
8,0,1,0.08382066,0.05653021,22.04347826,0.00254453,0.00127389,0.00113379,0.86373626,0.02747253,0.09901705,0.44201515,1,-1,0.25
5,0,5,0.10649351,0.01038961,17.02222222,0.00294118,0.00155763,0.001443,0.85042735,0.03988604,0.14477161,0.51908555,0.99999986,-1,0.25
7,1,1,0.07894737,0.09868421,19.24444444,0.00283286,0.00150602,0.0013624,0.81349206,0.03835979,-0.00911897,0.46920418,1,-1,0
5,0,6,0.1025641,0.04871795,20.275,0.00331126,0.0015674,0.00137931,0.85501355,0.04336043,0.09767316,0.51799606,1,1,0.75
5,0,7,0.075,0.06136364,20.1,0.00314465,0.00159744,0.00145773,0.8079096,0.05084746,0.04247864,0.52624946,1,0,0.5
11,0,1,0.06451613,0.07142857,28.56666667,0.0027027,0.00140647,0.0012987,0.86375321,0.04755784,0.04042521,0.49848746,1,1,0.75
9,0,1,0.07862903,0.07862903,23.92105263,0.0025974,0.00139665,0.00127714,0.78206725,0.05977584,0.0700487,0.56129634,1,1,0.75
4,0,6,0.07017544,0.05555556,22.83333333,0.00338983,0.00181488,0.00165563,0.8370607,0.04313099,0.08931664,0.45052566,0.97694626,-1,0.25
11,0,3,0.07201646,0.04320988,22.17073171,0.00240964,0.00137552,0.00128205,0.75319693,0.05626598,0.15677409,0.47888189,1,-1,0.25
9,1,7,0.07582938,0.04739336,20.11111111,0.00321543,0.00179211,0.00161551,0.76825397,0.04126984,-0.03631871,0.58882116,1,-1,0.25
8,0,5,0.07474747,0.05858586,21.54761905,0.00251256,0.00134953,0.00127226,0.80580076,0.05296343,0.16744611,0.53851924,1,-1,0.25
10,0,1,0.08125,0.0625,23.20512821,0.00271739,0.00141243,0.00127551,0.83559951,0.02472188,0.00746836,0.47931851,1,-1,0.25
9,0,7,0.07142857,0.05555556,23.28125,0.0031348,0.00170068,0.00154799,0.78636364,0.06666667,0.07309857,0.40983516,0.99994919,1,0.75
6,1,7,0.08796296,0.08333333,18.29545455,0.0026178,0.0015873,0.00147059,0.76086957,0.05362319,0.02288832,0.53655075,1,-1,0.25
12,1,8,0.08372093,0.08139535,17.06521739,0.00273973,0.00159236,0.00150602,0.8005997,0.04497751,0.16693723,0.52274587,1,-1,0
8,1,1,0.07424594,0.09280742,22.63888889,0.00271739,0.00156986,0.00147275,0.82284041,0.04392387,0.15519261,0.39283124,1,1,0.75
11,2,7,0.08441558,0.09090909,18.37288136,0.00205761,0.00115075,0.00110619,0.81518152,0.0440044,0.07457107,0.58065599,0.99999477,-1,0
